district,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015,HDI_2016,HDI_2017,HDI_2018,HDI_2019,HDI_2020,HDI_2021,HDI_2022,HDI_2023,PopDens2010,PopDens2011,PopDens2012,PopDens2013,PopDens2014,PopDens2015,PopDens2016,PopDens2017,PopDens2018,PopDens2019,PopDens2020,PopDens2021,PopDens2022,PopDens2023
Seruyan,61.6,62.16,62.39,62.81,63.49,64.77,65.4,66.14,67.04,67.57,67.58,67.67,68.24,68.68,10.09715189,10.53852423,10.63140723,10.76216763,10.8548748,10.96428078,10.99734863,11.09323388,11.18112893,12.09275864,12.17652459,9.789340202,9.548947335,9.621312625
Siak,69.78,70.2,70.45,70.84,71.45,72.17,72.7,73.18,73.73,74.07,73.68,73.98,74.5,74.98,64.47993943,81.80104823,83.46930683,84.31146427,84.59855347,85.87135472,86.62037769,87.42045994,88.15977344,95.25436127,96.00377624,59.99323325,59.50713935,59.99221112
Siau Tagulandang,61.83,62.45,63.35,63.91,64.35,65,65.66,66.03,66.75,67.48,67.64,68.05,68.94,69.57,,,,,,,,,,,,,,
Sibolga City,68.37,69.17,69.71,70.45,71.01,71.64,72,72.28,72.65,73.41,73.63,73.94,74.74,75.2,,,,,,,,,,,,,,
Sidenreng Rappang,65.54,65.88,66.19,67.15,68.14,69,69.39,69.84,70.6,71.05,71.21,71.54,72.06,72.71,228.910622,225.1573727,228.0544709,230.3550876,224.8326016,214.6371278,217.7879582,220.0071457,220.9017071,216.8239449,218.5304104,164.5287406,165.4561257,166.6696686
Sidoarjo,73.75,74.48,75.14,76.39,76.78,77.43,78.17,78.7,79.5,80.05,80.29,80.65,81.02,81.55,2603.915366,2461.606144,2493.508224,2518.736837,2542.646459,2566.799865,2599.969316,2622.749207,2657.860059,2514.054493,2534.865772,2830.660007,2838.199783,2860.798571
Sigi,60.81,61.76,62.88,64.1,64.64,65.35,65.95,66.72,67.66,68.16,68.12,68.49,69.05,69.93,84.88702038,90.30735008,92.09633514,93.05228387,93.39078322,93.86328532,94.09925226,94.73117904,95.06414981,98.12013647,98.89330217,49.11397634,49.51794637,49.89288146
Sijunjung,62.51,62.92,63.7,64.48,64.95,65.3,66.01,66.6,66.97,67.66,67.74,67.86,68.69,69.65,34.72570689,34.95106843,36.06971138,36.46868927,37.58639535,37.93265284,38.25715397,38.58944915,38.81370638,37.89511794,38.19614873,73.39802246,73.54439798,74.20803357
Sikka,59.04,59.62,60.12,60.84,61.36,61.81,62.42,63.08,63.89,64.75,65.11,65.41,66.06,66.89,190.4021262,198.9066344,196.8840788,198.8762202,203.2597582,204.2424214,201.1175005,202.8525803,203.3912989,210.8563355,206.8723153,163.0760771,164.4598191,165.8208409
Simalungun,68.8,69.03,69.79,70.28,70.89,71.24,71.48,71.83,72.49,72.98,73.25,73.4,73.77,74.29,90.4940173,87.35067468,86.91912573,82.59081962,95.05875428,94.58794036,95.6431507,96.50702106,97.4251306,98.07199873,98.86520176,216.2135503,219.8973125,221.6439265
Simeulue,60.6,61.03,61.25,61.68,62.18,63.16,63.82,64.41,64.74,65.7,66.03,66.41,67.27,68.06,43.48369363,43.13469013,42.48909713,42.91480055,43.38807909,43.8852027,44.11674646,44.37982168,44.74200854,47.74071718,48.11956534,42.22365572,39.56260095,39.84453328
Singkawang City,67.27,67.5,68.54,69.13,69.84,70.03,70.1,70.25,71.08,71.72,71.94,72.11,72.89,73.39,,,,,,,,,,,,,,
Sinjai,61.31,62.13,62.74,63.47,63.83,64.48,65.36,65.8,66.24,67.05,67.6,67.75,68.33,68.92,224.1164709,221.9632952,221.3319039,223.5985437,225.8881165,239.3059732,241.2035452,243.3189724,247.6174024,243.3813373,235.5524443,290.8010187,291.9925732,294.1520358
Sintang,59.91,60.8,61.66,62.64,63.19,64.18,64.78,65.16,66.07,66.7,66.88,66.93,67.86,68.67,16.07197875,15.39059621,15.60329037,15.47286191,15.67551833,15.86077222,16.03582434,16.17572283,16.5976706,17.19784637,17.33331576,20.32094631,20.24716507,20.38894297
Situbondo,60.07,60.82,62.23,63.43,63.91,64.53,65.08,65.68,66.42,67.09,67.38,67.78,68.25,69.16,443.6090026,419.4691824,424.686994,428.9826876,432.76093,436.4958961,440.4605245,444.0010364,439.5664564,417.6501986,415.5084106,398.7054246,405.5877218,408.634523
Sleman,79.69,80.04,80.1,80.26,80.73,81.2,82.15,82.85,83.42,83.85,83.84,84,84.31,84.77,1825.458316,1773.260955,1795.618828,1813.785394,1832.361878,1859.926286,1880.348925,1896.820657,1908.708644,1901.332159,1917.232666,1983.466565,1987.618757,2003.447894
Solok,64.53,65.28,65.62,66.15,66.44,67.12,67.67,67.86,68.6,69.08,69.08,69.24,70.02,70.63,69.0278961,68.26508196,69.94611975,70.63398402,71.64451061,72.24408534,73.01952296,73.66475699,74.26517715,72.49518554,73.05872076,127.5706163,124.3507567,125.3633896
Solok City,74.38,74.68,75.02,75.54,76.2,76.83,77.07,77.44,77.89,78.38,78.29,78.41,79.23,79.58,,,,,,,,,,,,,,
